time,close,count,high,low,open,volume,vwap,return,log return,mvavg_50,mvavg_100,mvavg_200,mvavg_3h,mvavg_6h,mvavg_12h,mvavg_2d
2017-01-01 00:00:00,965.03,33.0,967.79,965.03,966.61,27.30772098,967.0783933732175,-0.001603592046183544,-0.0016048791761137534,6.140479018214877e-05,4.995021529248987e-05,2.695550518314879e-05,0.00025599798728669,9.682789403185246e-05,0.0002624323449585736,-2.675459666025897e-05
2017-01-01 00:15:00,966.47,26.0,966.48,965.0,965.02,35.40243651,965.3590698569118,0.0014921815902095847,0.0014910693935226487,6.249085937263456e-05,4.988433545842793e-05,2.676580178352852e-05,0.0003438818195506466,0.0001619852858393782,0.00029131021160634185,-2.430162106738446e-05
2017-01-01 00:30:00,966.01,16.0,967.68,965.42,966.46,19.8962961,966.6851751975531,-0.00047595890198359747,-0.0004760722063753685,6.23625832667392e-05,4.98417043595072e-05,2.677435180309338e-05,0.0002609298831326823,8.765160910217278e-05,0.00024142724980258718,-2.6191096845347094e-05
2017-01-01 00:45:00,967.0,16.0,967.0,966.03,966.63,12.95816084,966.8455892929941,0.0010248341114480475,0.0010243093274837883,6.312655360930246e-05,4.9995393766941266e-05,2.690980395936865e-05,0.00034715435856818,0.00012903447719041315,0.00020938199694795056,-1.607951412837054e-05
2017-01-01 01:00:00,967.2,10.0,967.2,967.0,967.0,10.34523415,967.0783317214723,0.00020682523267834263,0.00020680384728854773,6.352580810131439e-05,5.008833236722121e-05,2.691876914618256e-05,0.00036352264769703486,0.00013808352875158757,0.00025398890185050185,1.615513060997355e-07
2017-01-01 01:15:00,967.0,9.0,967.25,967.0,967.2,7.02676101,967.1798239972447,-0.0002067824648470662,-0.00020680384728867708,6.338632271117565e-05,4.995536346873458e-05,2.678534718078336e-05,0.00032898358436927685,0.00019002244101191837,0.00023616636170612653,-1.2910562281176696e-05
2017-01-01 01:30:00,965.6,35.0,966.9,965.5,966.1,35.69798121,965.9036749760306,-0.0014477766287487315,-0.001448825669972604,6.21229169644381e-05,4.987755454036483e-05,2.6784706299642334e-05,0.00014252031148689727,0.00011753651423508604,0.00022167713931108785,-1.3090670565433262e-05
2017-01-01 01:45:00,965.5,13.0,965.59,965.5,965.59,7.59251763,965.5346318023107,-0.00010356255178134433,-0.00010356791475268192,6.20083330640714e-05,4.98441313188007e-05,2.6742340025458957e-05,-1.7262034228724043e-06,0.0002380340586119931,0.0002411189359759719,-3.4512988500240487e-06
2017-01-01 02:00:00,965.59,4.0,965.59,965.59,965.59,1.01942054,965.59,9.321595028488616e-05,9.321160594816462e-05,6.231271809021677e-05,4.994440997520242e-05,2.697304347293076e-05,4.057229458619289e-05,0.000308811822180638,0.00024284255605856275,-3.397073331588204e-06
2017-01-01 02:15:00,966.0,20.0,966.59,966.0,966.2,1.45928693,966.32540943473,0.00042461085968170664,0.0004245207380008206,6.217431863522104e-05,4.995901308721444e-05,2.694176528301496e-05,8.112988671547198e-05,0.00023704290551688025,0.0002623855591069852,1.0254221573847176e-05
